ANGLE;SPEED_X;SPEED_Y;TRACK_-45;TRACK_-20;TRACK_0;TRACK_20;TRACK_45;TRACK_POS;CLASS
0.00228422;-0.00962869;0.0470775;7.34525;200.0;40.637;21.4344;13.3492;0.338018;1;
0.00227373;-0.00853057;0.0468164;7.34472;200.0;40.6389;21.4351;13.3497;0.338055;1;
0.00226658;-0.0071703;0.0475164;7.34419;200.0;40.6404;21.4359;13.3502;0.338095;1;
0.00215643;-0.00596672;0.0462346;7.34278;200.0;40.6531;21.4397;13.3517;0.338135;1;
0.00204533;-0.00515202;0.046013;7.34136;200.0;40.6659;21.4436;13.3532;0.338173;1;
0.00203722;-0.00457229;0.0473518;7.34085;200.0;40.6675;21.4443;13.3536;0.338211;1;
0.0020315;-0.00409904;0.0473304;7.34035;200.0;40.6689;21.445;13.3541;0.33825;1;
0.00192183;-0.00377007;0.0459246;7.33896;200.0;40.6815;21.4488;13.3556;0.338287;1;
0.00169581;0.388689;0.0103217;7.33675;200.0;40.7072;21.4559;13.3581;0.338309;1;
0.00169628;0.770469;0.00999906;7.33658;200.0;40.7097;21.4561;13.3582;0.338324;1;
0.00178307;1.15869;0.0152263;7.33725;200.0;40.704;21.4535;13.3574;0.33833;1;
0.00190705;1.52287;0.00626763;7.33832;200.0;40.6955;21.4498;13.3561;0.338332;1;
0.00203913;1.8248;7.67055E-4;7.33949;200.0;40.6875;21.4457;13.3547;0.338329;1;
0.00221842;2.19287;-0.00538664;7.34109;200.0;40.6757;21.4403;13.3528;0.338327;1;
0.00246256;2.60062;-7.12562E-4;7.34325;200.0;40.6583;21.4328;13.3503;0.338324;1;
0.00270527;2.98084;0.00991695;7.3454;200.0;40.6425;21.4254;13.3477;0.338321;1;
0.00293845;3.33834;0.0021835;7.34747;200.0;40.6291;21.4183;13.3453;0.338319;1;
0.00325888;3.73211;3.12228E-4;7.35037;200.0;40.6076;21.4084;13.3419;0.338311;1;
0.00360411;4.11804;-7.79107E-5;7.35351;200.0;40.5848;21.3978;13.3382;0.338301;1;
0.0039727;4.48028;7.93611E-4;7.35688;200.0;40.5609;21.3865;13.3343;0.338287;1;
0.00433892;4.84617;0.00179771;7.3603;200.0;40.5385;21.3752;13.3303;0.338271;1;
0.00475472;5.23171;-3.66515E-4;7.36414;200.0;40.5122;21.3625;13.3259;0.338255;1;
0.00531119;5.59917;0.00386422;7.36926;200.0;40.4721;21.3454;13.32;0.338236;1;
0.00588244;6.0094;0.0154406;7.37456;200.0;40.4317;21.3279;13.3139;0.338213;1;
0.00637501;6.34548;0.00662389;7.37917;200.0;40.4013;21.3128;13.3086;0.338193;1;
0.00699299;6.71511;0.011853;7.38495;200.0;40.3588;21.2939;13.302;0.338165;1;
0.00765675;7.08714;0.0106256;7.39126;200.0;40.3126;21.2735;13.2948;0.338131;1;
0.00828522;7.45838;0.0047801;7.39733;200.0;40.2716;21.2542;13.288;0.33809;1;
0.00893372;7.82912;0.00429439;7.40369;200.0;40.2297;21.2341;13.2809;0.338041;1;
0.00968665;8.20705;0.0079852;7.41109;200.0;40.1781;21.211;13.2727;0.337985;1;
0.0104997;8.59357;0.00702965;7.41915;200.0;40.1213;21.1859;13.2638;0.33792;1;
0.0112902;8.98417;0.00313178;7.42713;200.0;40.0683;21.1615;13.2551;0.337847;1;
0.0121056;9.37515;0.00385936;7.43546;200.0;40.014;21.1362;13.246;0.337763;1;
0.0130207;9.76977;0.00727008;7.44488;200.0;39.9505;21.1079;13.2358;0.337669;1;
0.0139829;10.1704;0.00586488;7.45487;200.0;39.8834;21.0782;13.2251;0.337563;1;
0.0149071;10.5432;0.00265803;7.46471;200.0;39.8218;21.0494;13.2147;0.337445;1;
0.0158746;11.0315;0.00396154;7.47513;200.0;39.7569;21.0193;13.2037;0.337313;1;
0.0168645;11.3666;0.00388525;7.48596;200.0;39.6911;20.9885;13.1924;0.337166;1;
0.0179083;11.8075;0.00404251;7.49753;200.0;39.621;20.9559;13.1804;0.337004;1;
0.0189654;12.2188;0.00337086;7.50944;200.0;39.5509;20.9228;13.1682;0.336826;1;
0.0200335;12.6223;0.00460152;7.5217;200.0;39.4811;20.8893;13.1558;0.33663;1;
0.0212037;13.0978;0.00492154;7.5352;200.0;39.402;20.8527;13.1421;0.336417;1;
0.0223762;13.4796;0.00424915;7.54899;200.0;39.3241;20.8159;13.1284;0.336185;1;
0.0236403;13.9328;0.00753501;7.56395;200.0;39.2381;20.7763;13.1135;0.335931;1;
0.0249006;14.3765;0.00488968;7.57922;200.0;39.1538;20.7366;13.0985;0.335655;1;
0.0262062;14.7575;0.00565484;7.59528;200.0;39.0664;20.6955;13.0829;0.335356;1;
0.027631;15.2526;0.0045246;7.61287;200.0;38.9679;20.6508;13.066;0.33503;1;
0.0290119;15.6815;0.00285545;7.63046;200.0;38.8754;20.6071;13.0492;0.334676;1;
0.0304534;16.1088;0.00386549;7.64909;200.0;38.7782;20.5615;13.0317;0.334294;1;
0.0319459;16.5997;0.00442798;7.66867;200.0;38.677;20.5143;13.0134;0.333881;1;
0.0334093;17.0361;0.00204921;7.68846;200.0;38.5804;20.4676;12.9952;0.333436;2;
0.0349042;17.4802;0.0279075;7.70893;200.0;38.482;20.42;12.9765;0.33297;2;
0.0362965;17.9805;0.057333;7.72862;200.0;38.3962;20.3752;12.9588;0.332492;2;
0.0375177;18.4411;0.0888772;7.74675;200.0;38.3299;20.3353;12.9426;0.332008;2;
0.0387217;18.9228;0.124551;7.76492;200.0;38.2675;20.2958;12.9267;0.331517;2;
0.0398213;19.4287;0.158548;7.78209;200.0;38.218;20.2594;12.9117;0.331023;2;
0.0407292;19.981;0.195235;7.7975;200.0;38.1904;20.2282;12.8985;0.330523;2;
0.0415198;20.5367;0.237815;7.81173;200.0;38.1774;20.2003;12.8864;0.330021;2;
0.0421359;21.0056;0.275418;7.82417;200.0;38.1852;20.1773;12.876;0.329525;2;
0.0425388;21.5924;0.316793;7.83437;200.0;38.2183;20.1602;12.8677;0.329033;2;
0.0428497;22.2014;0.361437;7.84354;200.0;38.2645;20.1457;12.8603;0.328549;2;
0.0430676;22.7621;0.40379;7.85164;200.0;38.3245;20.134;12.8539;0.328075;2;
0.0432484;23.3598;0.45074;7.85921;200.0;38.3926;20.1233;12.8479;0.327613;2;
0.0432813;23.9969;0.502266;7.86509;200.0;38.4813;20.1169;12.8435;0.327167;2;
0.0430505;24.5933;0.557164;7.86789;200.0;38.6039;20.1181;12.8418;0.326745;1;
0.0438239;25.239;0.221739;7.88294;200.0;38.6193;20.09;12.8293;0.326177;1;
0.045737;25.966;0.0752824;7.91323;200.0;38.5088;20.0277;12.8038;0.325346;1;
0.0478989;26.6398;0.0302733;7.94802;200.0;38.3722;19.9574;12.7749;0.32438;1;
0.0503971;27.317;0.0160434;7.98794;200.0;38.2012;19.8771;12.7421;0.323316;1;
